,iter,score,optimization
0,1,-1.9672756,max
1,1,-2.569621,max
2,1,-2.2328477,max
3,1,-2.0733435,max
4,1,-1.6355342,max
5,1,-1.911902,max
6,1,-2.979741,max
7,1,-1.2028118,max
8,1,-1.837634,max
9,1,-3.5490775,max
10,1,-2.572316,max
11,1,-0.36282277,max
12,1,-1.939603,max
13,1,-1.6850145,max
14,1,-2.0994573,max
15,1,-3.0289333,max
16,1,-3.033562,max
17,1,-2.854804,max
18,1,-0.6870957,max
19,1,-1.3257692,max
20,1,-1.8762002,max
21,1,-2.0603826,max
22,1,-1.615273,max
23,1,-0.33927462,max
24,1,-2.9525871,max
25,1,-1.7047884,max
26,1,-1.6126654,max
27,1,-1.9265144,max
28,1,-0.7538637,max
29,1,-2.5602658,max
30,1,-1.8803535,max
31,1,-2.0602913,max
32,1,-1.5761709,max
33,1,-1.028513,max
34,1,-1.7677895,max
35,1,-2.1508675,max
36,1,-1.4696218,max
37,1,-0.7704623,max
38,1,-3.4246101,max
39,1,0.6684999,max
40,1,-2.6820922,max
41,1,-3.1215537,max
42,1,0.3572656,max
43,1,-1.6181533,max
44,1,-2.7592077,max
45,1,-0.75736344,max
46,1,-2.0445468,max
47,1,-1.6845692,max
48,1,-2.2911534,max
49,1,-2.4811285,max
50,1,-1.2858458,max
51,1,-1.5479419,max
52,1,-2.481945,max
53,1,-1.6003661,max
54,1,-2.2401662,max
55,1,-1.2358713,max
56,1,-1.5697515,max
57,1,-0.030844867,max
58,1,-1.3992094,max
59,1,-1.880851,max
60,1,-2.8076353,max
61,1,-2.3203802,max
62,1,-1.9269524,max
63,1,-2.0210247,max
64,2,-1.9194868,max
65,2,-2.5007522,max
66,2,-2.2363086,max
67,2,-2.0026975,max
68,2,-1.5780464,max
69,2,-1.766338,max
70,2,-2.9404159,max
71,2,-1.1785011,max
72,2,-1.7829428,max
73,2,-3.5256624,max
74,2,-2.6304078,max
75,2,-0.36219662,max
76,2,-1.8526589,max
77,2,-1.6451093,max
78,2,-1.9670088,max
79,2,-2.9083264,max
80,2,-3.0096607,max
81,2,-2.7584834,max
82,2,-0.45650393,max
83,2,-1.3673353,max
84,2,-1.8409163,max
85,2,-2.2494214,max
86,2,-1.5241134,max
87,2,-0.3183533,max
88,2,-2.9667075,max
89,2,-1.622896,max
90,2,-1.5428189,max
91,2,-1.9314116,max
92,2,-0.7056118,max
93,2,-2.35357,max
94,2,-1.8412497,max
95,2,-2.0051067,max
96,2,-1.4393399,max
97,2,-0.90486705,max
98,2,-1.7490158,max
99,2,-2.150823,max
100,2,-1.4175278,max
101,2,-0.50219184,max
102,2,-3.2715988,max
103,2,0.6718182,max
104,2,-2.575753,max
105,2,-2.9621809,max
106,2,0.4824518,max
107,2,-1.5178933,max
108,2,-2.567528,max
109,2,-0.78682995,max
110,2,-1.9806293,max
111,2,-1.4058864,max
112,2,-2.2289755,max
113,2,-2.3414237,max
114,2,-1.0127115,max
115,2,-1.5188601,max
116,2,-2.0496204,max
117,2,-1.6091119,max
118,2,-2.1418447,max
119,2,-1.1468287,max
120,2,-1.3845354,max
121,2,-0.04350674,max
122,2,-1.3723187,max
123,2,-1.8455825,max
124,2,-2.7251065,max
125,2,-2.3194842,max
126,2,-1.8223289,max
127,2,-1.9198409,max
128,3,-1.8715158,max
129,3,-2.4379644,max
130,3,-2.2205431,max
131,3,-1.9635403,max
132,3,-1.511353,max
133,3,-1.7242051,max
134,3,-2.8448782,max
135,3,-1.1214356,max
136,3,-1.7288128,max
137,3,-3.4902658,max
138,3,-2.653174,max
139,3,-0.15861072,max
140,3,-1.8285402,max
141,3,-1.6303387,max
142,3,-1.8939264,max
143,3,-2.733134,max
144,3,-2.990989,max
145,3,-2.7673085,max
146,3,-0.40652925,max
147,3,-1.3492637,max
148,3,-1.9051409,max
149,3,-2.276832,max
150,3,-0.80835795,max
151,3,-0.3268615,max
152,3,-2.9063148,max
153,3,-1.5764568,max
154,3,-1.447398,max
155,3,-2.102057,max
156,3,-0.6893405,max
157,3,-2.244079,max
158,3,-1.8775129,max
159,3,-1.9647998,max
160,3,-1.3325809,max
161,3,-0.8851587,max
162,3,-1.7183714,max
163,3,-2.1508527,max
164,3,-1.358721,max
165,3,-0.35694417,max
166,3,-3.1783423,max
167,3,0.67181444,max
168,3,-2.5848026,max
169,3,-2.9196558,max
170,3,0.5147137,max
171,3,-1.4133763,max
172,3,-2.3452287,max
173,3,-0.64172417,max
174,3,-1.9675069,max
175,3,-1.3794271,max
176,3,-2.1138697,max
177,3,-2.8250284,max
178,3,-0.7690101,max
179,3,-1.4890718,max
180,3,-1.8599772,max
181,3,-1.363087,max
182,3,-2.0990806,max
183,3,-1.2087119,max
184,3,-1.0713243,max
185,3,-0.023906797,max
186,3,-1.3687222,max
187,3,-1.8151281,max
188,3,-2.723053,max
189,3,-2.0341883,max
190,3,-1.816318,max
191,3,-1.8463936,max
192,4,-1.8336846,max
193,4,-2.3897657,max
194,4,-2.21323,max
195,4,-1.9207977,max
196,4,-1.4536057,max
197,4,-1.5155342,max
198,4,-2.8355196,max
199,4,-1.1041672,max
200,4,-1.6726311,max
201,4,-3.466822,max
202,4,-2.6485226,max
203,4,-0.1581803,max
204,4,-1.7950224,max
205,4,-1.531063,max
206,4,-1.8811533,max
207,4,-2.7160969,max
208,4,-2.8379161,max
209,4,-2.763037,max
210,4,-0.16397873,max
211,4,-1.3140365,max
212,4,-1.8859526,max
213,4,-2.2300255,max
214,4,-0.72110903,max
215,4,-0.33072612,max
216,4,-2.9304838,max
217,4,-1.539542,max
218,4,-1.357998,max
219,4,-2.09483,max
220,4,-0.6764263,max
221,4,-2.121894,max
222,4,-1.8589987,max
223,4,-1.9209515,max
224,4,-1.3117574,max
225,4,-0.8847017,max
226,4,-1.6724147,max
227,4,-2.1512985,max
228,4,-1.3642856,max
229,4,-0.17272113,max
230,4,-3.1556172,max
231,4,0.6717994,max
232,4,-2.616216,max
233,4,-2.905484,max
234,4,0.56398106,max
235,4,-1.3293793,max
236,4,-1.959781,max
237,4,0.121205986,max
238,4,-1.8903402,max
239,4,-1.3612041,max
240,4,-1.8311018,max
241,4,-2.188333,max
242,4,-0.5949192,max
243,4,-1.4806956,max
244,4,-1.8614707,max
245,4,-1.3516012,max
246,4,-2.0368962,max
247,4,-1.1420877,max
248,4,-0.83647317,max
249,4,0.11464873,max
250,4,-1.3624488,max
251,4,-1.786653,max
252,4,-2.6861434,max
253,4,-1.993622,max
254,4,-1.7880968,max
255,4,-1.7711197,max
256,5,-1.8009565,max
257,5,-2.3399317,max
258,5,-2.2127256,max
259,5,-1.8918499,max
260,5,-1.3948929,max
261,5,-1.4616145,max
262,5,-2.8334432,max
263,5,-1.1099467,max
264,5,-1.6052138,max
265,5,-3.3952444,max
266,5,-2.5329127,max
267,5,-0.1641006,max
268,5,-1.9973639,max
269,5,-1.3659308,max
270,5,-1.8977692,max
271,5,-2.6614847,max
272,5,-2.8177779,max
273,5,-2.7547505,max
274,5,-0.114635736,max
275,5,-1.3052001,max
276,5,-1.8410869,max
277,5,-2.1932335,max
278,5,-0.6291451,max
279,5,-0.33736393,max
280,5,-2.910524,max
281,5,-1.5009551,max
282,5,-1.2929544,max
283,5,-2.066537,max
284,5,-0.67428154,max
285,5,-2.0496178,max
286,5,-1.830631,max
287,5,-1.8822432,max
288,5,-1.1526004,max
289,5,-0.85770994,max
290,5,-1.6652205,max
291,5,-2.150843,max
292,5,-1.2648478,max
293,5,0.37952,max
294,5,-3.0937507,max
295,5,0.55002767,max
296,5,-2.5227652,max
297,5,-2.8812203,max
298,5,0.53998053,max
299,5,-1.2608757,max
300,5,-1.9169939,max
301,5,0.21165842,max
302,5,-1.9080844,max
303,5,-1.3569137,max
304,5,-1.6756732,max
305,5,-2.3229232,max
306,5,-0.42949086,max
307,5,-1.4513478,max
308,5,-1.877495,max
309,5,-1.1720351,max
310,5,-1.9333409,max
311,5,-1.1437492,max
312,5,-0.7331953,max
313,5,0.108834356,max
314,5,-1.3670839,max
315,5,-1.7578543,max
316,5,-2.6734216,max
317,5,-1.9988384,max
318,5,-1.7655025,max
319,5,-1.6871133,max
320,6,-1.7690473,max
321,6,-2.2553406,max
322,6,-2.2199583,max
323,6,-1.8535527,max
324,6,-1.3494682,max
325,6,-1.4620136,max
326,6,-2.785786,max
327,6,-1.0439306,max
328,6,-1.5312661,max
329,6,-3.3826277,max
330,6,-2.4568675,max
331,6,-0.1581803,max
332,6,-1.7918379,max
333,6,-1.3490617,max
334,6,-1.8460109,max
335,6,-2.6070733,max
336,6,-2.9730349,max
337,6,-2.749544,max
338,6,-0.155968,max
339,6,-1.2937624,max
340,6,-1.9077666,max
341,6,-2.19934,max
342,6,-0.5786071,max
343,6,-0.3629892,max
344,6,-2.9121752,max
345,6,-1.4641137,max
346,6,-1.2406826,max
347,6,-2.0952477,max
348,6,-0.67521226,max
349,6,-1.9831969,max
350,6,-1.854067,max
351,6,-1.8242259,max
352,6,-1.1441921,max
353,6,-0.8305262,max
354,6,-1.659625,max
355,6,-2.150378,max
356,6,-1.241883,max
357,6,0.5130147,max
358,6,-3.032729,max
359,6,0.55318415,max
360,6,-2.6843963,max
361,6,-2.8121655,max
362,6,0.552924,max
363,6,-1.157954,max
364,6,-1.7737252,max
365,6,0.30289495,max
366,6,-1.8693652,max
367,6,-1.3460294,max
368,6,-1.5859553,max
369,6,-2.1842413,max
370,6,-0.3187661,max
371,6,-1.3252927,max
372,6,-1.8929507,max
373,6,-0.979123,max
374,6,-1.8391968,max
375,6,-1.1183987,max
376,6,-0.63415915,max
377,6,0.13122013,max
378,6,-1.3251665,max
379,6,-1.7287557,max
380,6,-2.623866,max
381,6,-1.993319,max
382,6,-1.7319593,max
383,6,-1.583966,max
384,7,-1.7367804,max
385,7,-2.1352205,max
386,7,-2.2130432,max
387,7,-1.8088367,max
388,7,-1.2923852,max
389,7,-1.4241188,max
390,7,-2.7857327,max
391,7,-1.3065583,max
392,7,-1.4500157,max
393,7,-3.316005,max
394,7,-2.38978,max
395,7,-0.1581803,max
396,7,-1.8168422,max
397,7,-1.3730422,max
398,7,-1.8159901,max
399,7,-2.582203,max
400,7,-2.7622554,max
401,7,-2.7036624,max
402,7,-0.052702144,max
403,7,-1.1244283,max
404,7,-1.8214921,max
405,7,-2.1936626,max
406,7,-0.58646643,max
407,7,-0.3841901,max
408,7,-2.910035,max
409,7,-1.4253135,max
410,7,-1.1926007,max
411,7,-2.0581985,max
412,7,-0.6799772,max
413,7,-1.9333099,max
414,7,-1.8720218,max
415,7,-1.7924643,max
416,7,-1.1230917,max
417,7,-0.83718616,max
418,7,-1.6536721,max
419,7,-2.1199708,max
420,7,-1.2955393,max
421,7,0.557473,max
422,7,-2.9632363,max
423,7,0.6354575,max
424,7,-2.6773543,max
425,7,-2.8618596,max
426,7,0.5839324,max
427,7,-1.0673312,max
428,7,-1.7358303,max
429,7,0.21218246,max
430,7,-1.713192,max
431,7,-1.3122114,max
432,7,-1.5301183,max
433,7,-2.201479,max
434,7,-0.25705716,max
435,7,-1.3252952,max
436,7,-1.8120154,max
437,7,-0.97885144,max
438,7,-1.7257658,max
439,7,-1.1159108,max
440,7,-0.56016743,max
441,7,0.17360371,max
442,7,-1.2833698,max
443,7,-1.7000006,max
444,7,-2.4910645,max
445,7,-2.1580486,max
446,7,-1.7039846,max
447,7,-1.4646971,max
448,8,-1.7056276,max
449,8,-2.0032864,max
450,8,-2.2120605,max
451,8,-1.760731,max
452,8,-1.166357,max
453,8,-1.1356324,max
454,8,-2.7696955,max
455,8,-1.0601474,max
456,8,-1.3581976,max
457,8,-3.2892644,max
458,8,-2.3588443,max
459,8,-0.15820009,max
460,8,-1.7970037,max
461,8,-1.313845,max
462,8,-1.8334824,max
463,8,-2.584107,max
464,8,-2.7345188,max
465,8,-2.7154388,max
466,8,-0.042442143,max
467,8,-1.0546238,max
468,8,-1.8178535,max
469,8,-2.3361917,max
470,8,-0.50817674,max
471,8,-0.36298567,max
472,8,-2.9246216,max
473,8,-1.3839195,max
474,8,-1.1313839,max
475,8,-1.979306,max
476,8,-0.65846837,max
477,8,-1.9034663,max
478,8,-1.8611097,max
479,8,-1.7836704,max
480,8,-0.9081053,max
481,8,-0.8000787,max
482,8,-1.4462918,max
483,8,-2.119897,max
484,8,-1.2406299,max
485,8,0.6255827,max
486,8,-2.915532,max
487,8,0.72933185,max
488,8,-2.5230627,max
489,8,-2.825691,max
490,8,0.5800313,max
491,8,-0.95504946,max
492,8,-1.6950858,max
493,8,0.20911014,max
494,8,-1.7134084,max
495,8,-1.307617,max
496,8,-1.4887277,max
497,8,-2.2101417,max
498,8,-0.20267424,max
499,8,-1.3251559,max
500,8,-1.8136091,max
501,8,-0.978788,max
502,8,-1.6375759,max
503,8,-1.1036422,max
504,8,-0.49919224,max
505,8,0.18746167,max
506,8,-1.1017252,max
507,8,-1.6714253,max
508,8,-2.4037623,max
509,8,-1.9904792,max
510,8,-1.6393665,max
511,8,-1.3991667,max
512,9,-1.6763382,max
513,9,-1.8964924,max
514,9,-2.143606,max
515,9,-1.7215534,max
516,9,-1.1175752,max
517,9,-1.0813842,max
518,9,-2.7371316,max
519,9,-1.0110036,max
520,9,-1.2637829,max
521,9,-3.2820168,max
