,iter,score onehot,optimization
0,1,-2.4304926,max
1,1,-2.8821428,max
2,1,-2.2126756,max
3,1,-2.4411993,max
4,1,-2.1631067,max
5,1,-1.9684798,max
6,1,-2.9432056,max
7,1,-1.1784116,max
8,1,-2.0977473,max
9,1,-3.5380254,max
10,1,-2.5615666,max
11,1,-0.36230484,max
12,1,-1.943402,max
13,1,-1.6236957,max
14,1,-2.0626602,max
15,1,-2.937958,max
16,1,-3.0188344,max
17,1,-2.860366,max
18,1,-0.89704967,max
19,1,-1.3244461,max
20,1,-1.8750097,max
21,1,-2.0805235,max
22,1,-1.7547046,max
23,1,-0.33783478,max
24,1,-2.9697185,max
25,1,-2.853557,max
26,1,-1.517312,max
27,1,-1.9703026,max
28,1,-0.78385943,max
29,1,-2.375076,max
30,1,-1.9342196,max
31,1,-2.5202067,max
32,1,-1.4063466,max
33,1,-1.0881097,max
34,1,-1.8197635,max
35,1,-2.1508315,max
36,1,-1.4241191,max
37,1,-0.6913078,max
38,1,-3.7564516,max
39,1,0.66566473,max
40,1,-2.5907412,max
41,1,-3.0474594,max
42,1,0.3919387,max
43,1,-1.5931251,max
44,1,-2.8687763,max
45,1,-0.71763,max
46,1,-2.0890424,max
47,1,-1.5633748,max
48,1,-2.4967697,max
49,1,-2.3809726,max
50,1,-1.1635356,max
51,1,-1.5213985,max
52,1,-2.5853655,max
53,1,-1.5996851,max
54,1,-2.3883526,max
55,1,-1.4342462,max
56,1,-1.5449743,max
57,1,-0.031606287,max
58,1,-1.382049,max
59,1,-2.2730868,max
60,1,-2.7272153,max
61,1,-2.3067095,max
62,1,-2.292017,max
63,1,-1.474069,max
64,2,-2.248979,max
65,2,-2.8966088,max
66,2,-2.245242,max
67,2,-2.3044655,max
68,2,-1.8678285,max
69,2,-1.6394298,max
70,2,-2.9432056,max
71,2,-1.1104646,max
72,2,-1.9408966,max
73,2,-3.52571,max
74,2,-2.6526797,max
75,2,-0.36230484,max
76,2,-1.8375381,max
77,2,-1.5942607,max
78,2,-1.8940098,max
79,2,-2.9363892,max
80,2,-3.0188344,max
81,2,-2.7488837,max
82,2,-0.5826569,max
83,2,-1.3575132,max
84,2,-1.8408233,max
85,2,-2.2520053,max
86,2,-1.7255613,max
87,2,-0.3183533,max
88,2,-2.9955828,max
89,2,-2.853557,max
90,2,-1.4433951,max
91,2,-1.9348052,max
92,2,-0.7693502,max
93,2,-2.3739347,max
94,2,-1.8450185,max
95,2,-2.1354663,max
96,2,-1.423805,max
97,2,-0.9150507,max
98,2,-1.7548,max
99,2,-2.1508315,max
100,2,-1.4241191,max
101,2,-0.45267636,max
102,2,-3.6055114,max
103,2,0.6718247,max
104,2,-2.5848224,max
105,2,-2.991285,max
106,2,0.47446352,max
107,2,-1.6164929,max
108,2,-2.538109,max
109,2,-0.7920015,max
110,2,-1.9818206,max
111,2,-1.2601414,max
112,2,-2.2828035,max
113,2,-2.3403723,max
114,2,-0.87385535,max
115,2,-1.5213985,max
116,2,-2.0417728,max
117,2,-1.6096567,max
118,2,-2.1652904,max
119,2,-1.1417694,max
120,2,-1.5288122,max
121,2,-0.051360905,max
122,2,-1.3687222,max
123,2,-2.2174687,max
124,2,-2.6678324,max
125,2,-2.3067095,max
126,2,-2.1833444,max
127,2,-1.3362327,max
128,3,-2.0832338,max
129,3,-2.7784884,max
130,3,-2.2126756,max
131,3,-2.3760843,max
132,3,-1.8645264,max
133,3,-1.722817,max
134,3,-2.83391,max
135,3,-1.1104646,max
136,3,-1.982439,max
137,3,-3.4667659,max
138,3,-2.643962,max
139,3,-0.1581803,max
140,3,-1.8285292,max
141,3,-1.5794661,max
142,3,-1.8940098,max
143,3,-2.748364,max
144,3,-3.0188344,max
145,3,-2.7488837,max
146,3,-0.49233007,max
147,3,-1.3530346,max
148,3,-1.886247,max
149,3,-2.2828836,max
150,3,-0.861081,max
151,3,-0.3183533,max
152,3,-2.9105306,max
153,3,-2.5906284,max
154,3,-1.4347179,max
155,3,-2.1054668,max
156,3,-0.6723924,max
157,3,-2.4049635,max
158,3,-1.8732948,max
159,3,-2.1104374,max
160,3,-1.420431,max
161,3,-0.88439864,max
162,3,-1.7371482,max
163,3,-2.1508315,max
164,3,-1.3933948,max
165,3,-0.25035825,max
166,3,-3.3447526,max
167,3,0.6718247,max
168,3,-2.5848224,max
169,3,-2.9225185,max
170,3,0.53526694,max
171,3,-1.4699428,max
172,3,-2.239219,max
173,3,-0.6561823,max
174,3,-1.9672139,max
175,3,-1.2037146,max
176,3,-2.1298532,max
177,3,-2.887496,max
178,3,-0.43879908,max
179,3,-1.4914136,max
180,3,-1.8598886,max
181,3,-1.339304,max
182,3,-2.132438,max
183,3,-1.2711179,max
184,3,-1.2176182,max
185,3,-0.02444759,max
186,3,-1.3687222,max
187,3,-2.1688495,max
188,3,-2.680846,max
189,3,-2.0337772,max
190,3,-1.9257312,max
191,3,-1.3562336,max
192,4,-2.130989,max
193,4,-2.7165785,max
194,4,-2.2126756,max
195,4,-2.4107049,max
196,4,-1.4318455,max
197,4,-1.5078553,max
198,4,-2.83391,max
199,4,-1.1104646,max
200,4,-1.0510576,max
201,4,-3.4667659,max
202,4,-2.6454523,max
203,4,-0.1581803,max
204,4,-1.7924963,max
205,4,-1.5531099,max
206,4,-1.8837695,max
207,4,-2.752572,max
208,4,-2.862285,max
209,4,-2.7330208,max
210,4,-0.21575895,max
211,4,-1.3204379,max
212,4,-1.886247,max
213,4,-2.2315655,max
214,4,-0.73979825,max
215,4,-0.33073983,max
216,4,-2.9344509,max
217,4,-2.4391632,max
218,4,-1.4858121,max
219,4,-2.1054668,max
220,4,-0.6723924,max
221,4,-2.4797459,max
222,4,-1.8732948,max
223,4,-2.1104374,max
224,4,-1.4291437,max
225,4,-0.88439864,max
226,4,-1.6770881,max
227,4,-2.1508315,max
228,4,-1.3932091,max
229,4,-0.6460854,max
230,4,-3.039048,max
231,4,0.6718247,max
232,4,-2.6191537,max
233,4,-2.904218,max
234,4,0.5665515,max
235,4,-1.0853052,max
236,4,-1.8816639,max
237,4,0.13509455,max
238,4,-1.9584945,max
239,4,-1.2131115,max
240,4,-1.6860744,max
241,4,-2.1882706,max
242,4,-0.44052923,max
243,4,-1.4914136,max
244,4,-1.8598886,max
245,4,-1.3571417,max
246,4,-2.1140535,max
247,4,-1.1417694,max
248,4,-0.5945798,max
249,4,0.12670624,max
250,4,-1.3582544,max
251,4,-2.1688495,max
252,4,-2.528253,max
253,4,-1.9930078,max
254,4,-1.9257312,max
255,4,-1.4459069,max
256,5,-2.0419426,max
257,5,-2.7282557,max
258,5,-2.2126756,max
259,5,-2.2836304,max
260,5,-1.1850634,max
261,5,-1.4440755,max
262,5,-2.83391,max
263,5,-1.1170101,max
264,5,-1.1015335,max
265,5,-3.3640773,max
266,5,-2.474979,max
267,5,-0.1581803,max
268,5,-2.020609,max
269,5,-1.3196232,max
270,5,-1.8940098,max
271,5,-2.6976244,max
272,5,-2.8180544,max
273,5,-2.664842,max
274,5,-0.13458556,max
275,5,-1.3052684,max
276,5,-1.8408233,max
277,5,-2.1931243,max
278,5,-0.74154794,max
279,5,-0.3329886,max
280,5,-2.9105306,max
281,5,-2.4790027,max
282,5,-1.4858121,max
283,5,-2.0741234,max
284,5,-0.6723924,max
285,5,-2.4429271,max
286,5,-1.8450185,max
287,5,-2.2286131,max
288,5,-1.2850636,max
289,5,-0.88949955,max
290,5,-1.6609613,max
291,5,-2.1508315,max
292,5,-1.2635505,max
293,5,0.16643557,max
294,5,-3.0694737,max
295,5,0.55178446,max
296,5,-2.5228837,max
297,5,-2.9053133,max
298,5,0.55164236,max
299,5,-1.1519965,max
300,5,-1.8844196,max
301,5,0.2054882,max
302,5,-1.9119899,max
303,5,-1.1569887,max
304,5,-1.6600759,max
305,5,-2.3507771,max
306,5,-0.2093519,max
307,5,-1.4582494,max
308,5,-1.8598886,max
309,5,-1.220932,max
310,5,-2.1544387,max
311,5,-1.1417694,max
312,5,-0.7724737,max
313,5,0.12670624,max
314,5,-1.3687222,max
315,5,-2.1685338,max
316,5,-2.5464404,max
317,5,-1.9930078,max
318,5,-1.9257312,max
319,5,-1.2931547,max
320,6,-2.035417,max
321,6,-2.644923,max
322,6,-2.2126756,max
323,6,-2.06391,max
324,6,-1.1161585,max
325,6,-1.4373024,max
326,6,-2.785786,max
327,6,-1.0545957,max
328,6,-1.1585389,max
329,6,-3.3882627,max
330,6,-2.474979,max
331,6,-0.1581803,max
332,6,-1.7961109,max
333,6,-1.2825824,max
334,6,-1.8460913,max
335,6,-2.6495175,max
336,6,-3.0358553,max
337,6,-2.664842,max
338,6,-0.2423464,max
339,6,-1.3052684,max
340,6,-1.911188,max
341,6,-2.1931243,max
342,6,-0.54649717,max
343,6,-0.36298567,max
344,6,-2.9105306,max
345,6,-2.4790027,max
346,6,-1.3501781,max
347,6,-2.1464963,max
348,6,-0.6723924,max
349,6,-1.9603766,max
350,6,-1.8312032,max
351,6,-2.219541,max
352,6,-1.2683687,max
353,6,-0.83054477,max
354,6,-1.6609613,max
355,6,-2.1508315,max
356,6,-1.2436633,max
357,6,0.33736575,max
358,6,-3.0663817,max
359,6,0.55178446,max
360,6,-2.684425,max
361,6,-2.8282855,max
362,6,0.55476534,max
363,6,-0.7949491,max
364,6,-1.7317423,max
365,6,0.26688594,max
366,6,-1.8756025,max
367,6,-1.1569887,max
368,6,-1.5441227,max
369,6,-2.1815884,max
370,6,-0.085906744,max
371,6,-1.324339,max
372,6,-1.8118606,max
373,6,-0.9788459,max
374,6,-2.1882818,max
375,6,-1.1158048,max
376,6,-0.56004095,max
377,6,0.12670624,max
378,6,-1.3582544,max
379,6,-2.4202483,max
380,6,-2.5464404,max
381,6,-1.9906616,max
382,6,-1.9257312,max
383,6,-1.2618471,max
384,7,-1.8245206,max
385,7,-2.6326241,max
386,7,-2.2126756,max
387,7,-2.21179,max
388,7,-1.142103,max
389,7,-1.4373024,max
390,7,-2.785786,max
391,7,-1.4590846,max
392,7,-1.1195633,max
393,7,-3.3134902,max
394,7,-2.3868184,max
395,7,-0.1581803,max
396,7,-1.837787,max
397,7,-1.3108066,max
398,7,-1.8249203,max
399,7,-2.6211147,max
400,7,-2.8180544,max
401,7,-2.6889997,max
402,7,-0.034827888,max
403,7,-1.0697272,max
404,7,-1.817075,max
405,7,-2.1931243,max
406,7,-0.48103192,max
407,7,-0.36298567,max
408,7,-2.9105306,max
409,7,-2.4148,max
410,7,-1.3706682,max
411,7,-2.06569,max
412,7,-0.6723924,max
413,7,-1.904383,max
414,7,-1.8629204,max
415,7,-2.1672606,max
416,7,-1.1116233,max
417,7,-0.8244262,max
418,7,-1.6609613,max
419,7,-2.119945,max
420,7,-1.3291565,max
421,7,0.25766438,max
422,7,-3.0663817,max
423,7,0.63423145,max
424,7,-2.684425,max
425,7,-2.8732765,max
426,7,0.5617198,max
427,7,-0.6127318,max
428,7,-1.7317423,max
429,7,0.21212137,max
430,7,-1.7130377,max
431,7,-1.1294317,max
432,7,-1.4492605,max
433,7,-2.2084737,max
434,7,-0.085906744,max
435,7,-1.324339,max
436,7,-1.8118606,max
437,7,-0.9788459,max
438,7,-2.0545776,max
439,7,-1.1158048,max
440,7,-0.50733936,max
441,7,0.18686879,max
442,7,-1.2833698,max
443,7,-2.3664975,max
444,7,-2.3794117,max
445,7,-2.1606631,max
446,7,-1.832605,max
447,7,-1.3220066,max
448,8,-1.8333579,max
449,8,-1.3317101,max
450,8,-2.2126756,max
451,8,-2.1776114,max
452,8,-1.1197741,max
453,8,-1.1198089,max
454,8,-2.7693844,max
455,8,-1.0545957,max
456,8,-1.1195633,max
457,8,-3.2897534,max
458,8,-2.3473523,max
459,8,-0.1581803,max
460,8,-1.7961109,max
461,8,-1.3108066,max
462,8,-1.8460913,max
463,8,-2.6314008,max
464,8,-2.7390215,max
465,8,-2.7430143,max
466,8,-0.09952974,max
467,8,-1.0643805,max
468,8,-1.817075,max
469,8,-2.1931243,max
470,8,-0.35085344,max
471,8,-0.36298567,max
472,8,-2.9503274,max
473,8,-2.4360838,max
474,8,-1.3501781,max
475,8,-1.9796923,max
476,8,-0.6340623,max
477,8,-1.9275862,max
478,8,-1.8610294,max
479,8,-2.1672606,max
480,8,-1.05481,max
481,8,-0.80444217,max
482,8,-1.4627789,max
483,8,-2.119945,max
484,8,-1.2436633,max
485,8,0.52700263,max
486,8,-2.94251,max
487,8,0.75002813,max
488,8,-2.5228837,max
489,8,-2.8125222,max
490,8,0.5737976,max
491,8,-0.62158036,max
492,8,-1.7016628,max
493,8,0.21212137,max
494,8,-1.7130377,max
495,8,-1.1294317,max
496,8,-1.4634781,max
497,8,-2.2084737,max
498,8,0.024393976,max
499,8,-1.324339,max
500,8,-1.8118606,max
501,8,-0.9788459,max
502,8,-2.0199757,max
503,8,-1.1158048,max
504,8,-0.5610173,max
505,8,0.18686879,max
506,8,-1.1021307,max
507,8,-2.3092368,max
508,8,-2.3289406,max
509,8,-1.9906616,max
510,8,-1.7976419,max
511,8,-1.3220066,max
512,9,-1.7937864,max
513,9,-2.0918684,max
514,9,-2.1360102,max
515,9,-2.136361,max
516,9,-1.3043134,max
517,9,-1.0773528,max
518,9,-2.7374005,max
519,9,-1.0228697,max
520,9,-1.0012379,max
521,9,-3.2897534,max
522,9,-2.4171119,max
523,9,-0.18073268,max
524,9,-1.7754823,max
525,9,-1.0679843,max
526,9,-1.6588882,max
527,9,-2.5771651,max
528,9,-2.7390215,max
529,9,-2.3905663,max
530,9,-0.017946392,max
531,9,-1.0951211,max
532,9,-1.7020912,max
533,9,-2.1931243,max
534,9,0.3430801,max
535,9,-0.36298567,max
536,9,-2.9105306,max
537,9,-2.118657,max
538,9,-1.2760816,max
539,9,-1.9796923,max
540,9,-0.6340623,max
541,9,-1.8829124,max
542,9,-1.8560159,max
543,9,-2.1672606,max
544,9,-0.8832449,max
545,9,-0.93999475,max
546,9,-1.4018328,max
547,9,-2.0677633,max
548,9,-0.8550751,max
549,9,0.7113955,max
550,9,-3.1081405,max
551,9,0.75002813,max
552,9,-2.5228837,max
553,9,-2.8125222,max
554,9,0.5494371,max
555,9,-0.53597033,max
556,9,-1.7016628,max
557,9,0.22430038,max
558,9,-1.7130377,max
559,9,-1.1761568,max
560,9,-1.4011157,max
561,9,-2.6148837,max
562,9,0.04190278,max
563,9,-1.324339,max
564,9,-1.8705677,max
565,9,-0.9788459,max
566,9,-2.0405495,max
567,9,-1.0247396,max
568,9,-0.30070072,max
569,9,0.18686879,max
570,9,-1.0630113,max
571,9,-2.1925168,max
572,9,-2.3251748,max
573,9,-1.8730295,max
574,9,-1.8011013,max
575,9,-1.3080629,max
576,10,-1.7937864,max
577,10,-1.9953065,max
578,10,-2.1360102,max
579,10,-2.136361,max
580,10,-0.9118529,max
581,10,-0.99162245,max
582,10,-2.7247617,max
583,10,-0.90774596,max
584,10,-1.0012379,max
585,10,-3.1419637,max
586,10,-2.3473523,max
587,10,-0.1581803,max
588,10,-1.7961109,max
589,10,-1.0679843,max
590,10,-1.626399,max
591,10,-2.5680678,max
592,10,-2.710663,max
593,10,-2.137169,max
594,10,-0.077799365,max
595,10,-1.0967834,max
596,10,-1.8144387,max
597,10,-2.104945,max
598,10,0.41228795,max
599,10,-0.36298567,max
600,10,-2.8086135,max
601,10,-2.1811233,max
602,10,-1.2965213,max
603,10,-1.9500527,max
604,10,-0.6553849,max
605,10,-1.9275862,max
606,10,-2.3902702,max
607,10,-2.152094,max
608,10,-0.7761623,max
609,10,-0.84713244,max
610,10,-1.4018328,max
611,10,-2.0677633,max
612,10,-0.8550751,max
613,10,0.7223289,max
614,10,-3.0364316,max
615,10,0.75002813,max
616,10,-2.5228837,max
617,10,-2.7252247,max
618,10,0.58608,max
619,10,-0.5036306,max
620,10,-1.7214602,max
621,10,0.13518503,max
622,10,-1.629765,max
623,10,-1.1686294,max
624,10,-1.3995901,max
625,10,-2.1722035,max
626,10,0.09865725,max
627,10,-1.324339,max
628,10,-1.8374498,max
629,10,-0.9788459,max
630,10,-2.0405495,max
631,10,-1.0188818,max
632,10,-0.28288218,max
633,10,0.07014406,max
634,10,-0.9757692,max
635,10,-2.1644635,max
636,10,-2.523566,max
637,10,-1.8730295,max
638,10,-1.8011013,max
639,10,-1.1821241,max
640,11,-1.6211345,max
641,11,-2.042632,max
